rname,0,1,2,3,4,5,6,7,8,9,10
Zn68-173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183353814168851e-06
Zn68-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2158159120064145e-10,0.0005404449520122508,0.0022450266249048802,0.0013810448576666399
Zn70-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4123516433670303e-05,0.00020679980136477483
Ga69-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9761725678991895e-08,0.010026413536431437,0.009408968391927801
Ga69-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.257231037963509e-13,0.0004947498202169092,0.00115206551915452
Ga69-165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.157888451620636e-10,0.001842089284184559
Ga69-177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4273381631124714e-13,0.0007567223107975842
Ga69-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.893171923569859e-22,3.1322617731326574e-06,0.0005171179193655192,0.000425863055512662
Ga69-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0135648785256304e-10,7.123959078869985e-05,0.00016751993249844883
Ga71-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1512731342336534e-08,0.0014451949149843501,0.005094828594221975,0.001173223864967965
Ga71-165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3519127484369067e-08,0.002105422185268092
Ga71-176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08020315385952e-05,0.0013687106423133939
Ga71-179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.736600006570523e-11,0.00015991363476746038
Ge70-158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.040735029356544e-06,0.00011388373583637082
Ge70-159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43721627001459e-05,0.001322549875118403
Ge70-196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.611026376884794e-06
Ge72-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.40619551949177e-16,3.81276636510426e-05,0.00014825421985644043
As75-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5062967579557868,0.2690734511056477,0.10181066888017128
As75-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.104858701907083e-14,1.6939607436380616e-05,7.830305686291165e-05
Se76-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.154857852593537e-11,0.000589269465113267,0.0011166508675738813
Se76-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044264313398107045,0.0056549269506388
Se77-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030031758590093755,0.004174824492264848
Se78-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0599266856581628e-09,0.0029875331050570387
Br79-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4964178347664092e-12,0.004367116146429036,0.005752232693842422
Br81-165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.915363651194101e-12,0.0014553810100650401
Y89-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4773003363575925,0.3376340112792961,0.08095065431998089
Zr90-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20785504417794004,0.20260966059940744,0.08360950380185467
Zr90-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0718977326107426e-11,0.0032958367833814143,0.00814100331918581
Zr90-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0327734336232846,0.04596864914772191
Zr91-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007931701783906574,0.008549661188196344
Zr96-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024613897449075163,0.0221090251507804,0.006196965836831273,0.002874780891559854
Zr96-102,0.0005326538406133831,0.00013660666883866322,5.222706394770314e-05,2.8547696750822876e-05,2.4294247136666053e-05,0.03023415591443749,0.00019547323910651444,0.00011909768059600112,2.9904615371837665e-05,1.913526835841279e-05,8.730083396756544e-06
Nb93-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14829599646143e-09,0.011142829618943622,0.0161776380520336
Mo100-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3024032868077818e-16,1.755230222448316e-05,0.0001307712030464778
